,mean,total,tech,bio,p.value,FDR
MTRF1L,2.3623879286901,3.60971865041304,5.99745571908393,-2.38773706867089,0.953361348146351,0.999903837598123
RING1,2.65196065240318,3.88604978126492,6.27387967138007,-2.38782989011516,0.945695020016261,0.999903837598123
AGBL5,6.75676228977031,2.23825671295865,4.62756478161069,-2.38930806865205,0.985245923925647,0.999903837598123
PACS1,3.77754438306404,4.17112130428226,6.56288245153003,-2.39176114724777,0.937772882786539,0.999903837598123
POLR2L,6.31410263621224,2.52161177449122,4.91386809557171,-2.39225632108049,0.979931675817995,0.999903837598123
MIR1292,1.24479348614862,1.54412637163743,3.93692530068896,-2.39279892905153,0.994799523493043,0.999903837598123
HNRNPA1,6.23590605116164,2.57615121173188,4.96895158104764,-2.39280036931575,0.978824276952988,0.999903837598123
SREK1IP1,4.18068145825907,4.0331503963109,6.42628092330469,-2.39313052699379,0.941780704511342,0.999903837598123
THUMPD3-AS1,3.69300529565313,4.18147871786952,6.578769297229,-2.39729057935948,0.937752433891308,0.999903837598123
DND1,2.97157542924244,4.07346848860397,6.47439802642838,-2.40092953782441,0.94101013841395,0.999903837598123
PEX14,2.27294440981143,3.49077802599144,5.89184895859283,-2.40107093260139,0.957099990075389,0.999903837598123
WBP4,4.06101269468423,4.07304731108045,6.47665786620703,-2.40361055512658,0.941151017248745,0.999903837598123
LOC729887,1.69314075766452,2.56544960540498,4.97115064677423,-2.40570104136925,0.979329426468749,0.999903837598123
AKR7A2P1,1.11417550486831,1.17800067641694,3.58431289374786,-2.40631221733092,0.997673769540579,0.999903837598123
HLA-G,2.15491531717445,3.32677190819133,5.736537233448,-2.40976532525667,0.961709961129646,0.999903837598123
DNAJB6,5.13237618926935,3.4132538232609,5.823712408438,-2.4104585851771,0.959496856238668,0.999903837598123
CCDC59,4.96884564673746,3.5289408337991,5.94401912537494,-2.41507829157584,0.956628747521734,0.999903837598123
EMC10,3.66948479496159,4.16690363900808,6.58223930392639,-2.41533566491831,0.939059172724566,0.999903837598123
PCBP2-OT1,1.59245406162194,2.34773386165855,4.76389336996709,-2.41615950830854,0.98374580826707,0.999903837598123
NBPF12,2.66887536771698,3.87094309901504,6.28713049873428,-2.41618739971924,0.9473951517417,0.999903837598123
IKBKG,1.9293628885926,2.98225881683088,5.39849641907879,-2.4162376022479,0.970408140804848,0.999903837598123
FAM45B,2.63080255691891,3.83521488914649,6.25687548231091,-2.42166059316442,0.948620930836549,0.999903837598123
AHCTF1,4.434353447649,3.87279808327811,6.29517524278628,-2.42237715950817,0.94761757432552,0.999903837598123
LOC102724641,2.53286642257731,3.74844300973869,6.17176746681052,-2.42332445707183,0.951064442385017,0.999903837598123
DNAJC24,3.31837799513953,4.15467570841176,6.58086472366416,-2.42618901525241,0.939931564318404,0.999903837598123
RP11-98I9.4,1.44298433328668,2.00251580758883,4.42907964840544,-2.4265638408166,0.989545805331678,0.999903837598123
ARG2,4.5754999295244,3.78279540505635,6.21073315141831,-2.42793774636197,0.950324647707132,0.999903837598123
MIR922,1.63031745916083,2.4154771622897,4.84358199070922,-2.42810482841952,0.982713424495541,0.999903837598123
LOC102724296,1.37883229948767,1.84296254078094,4.27565724091371,-2.43269470013278,0.991770060306749,0.999903837598123
GTF2H2C,1.37140134996215,1.82421766753351,4.25751613416907,-2.43329846663556,0.992010033405381,0.999903837598123
SFN,3.76841581528128,4.13084746845458,6.56483850698614,-2.43399103853156,0.940974128224958,0.999903837598123
RALGAPA1P,2.08565708757307,3.20278423314673,5.63798239599752,-2.43519816285079,0.965685640166783,0.999903837598123
SF3A2,3.63743281012046,4.14979306732056,6.58617495358034,-2.43638188625978,0.940557465449757,0.999903837598123
HLTF-AS1,2.09193753823771,3.20788746940903,5.64706501939784,-2.43917754998881,0.965688838402143,0.999903837598123
MIDN,4.86011899722979,3.57975199256222,6.02123301353365,-2.44148102097143,0.95630765222799,0.999903837598123
HAS3,3.32593536551486,4.13824889802602,6.58200528050835,-2.44375638248234,0.941229834665245,0.999903837598123
LOC101929078,1.88914867286,2.88569610892058,5.33157390592599,-2.44587779700541,0.973440125323316,0.999903837598123
RPS3A,5.59291519670056,3.01421296326194,5.46341984916391,-2.44920688590197,0.970610585143749,0.999903837598123
UBE2MP1,1.63679599650616,2.40738404611715,4.8570038267668,-2.44961978064965,0.983254897241993,0.999903837598123
BCL2L2-PABPN1,5.19079374606311,3.32780926639304,5.77920638283517,-2.45139711644213,0.963126278134014,0.999903837598123
ZRANB2-AS1,1.52804060023739,2.17139185819474,4.62354200099286,-2.45215014279813,0.987318297123743,0.999903837598123
SF3B4,6.4207555836991,2.38760344894376,4.84059711985619,-2.45299367091243,0.983672576638164,0.999903837598123
GNB2,5.82703074389582,2.82345146579302,5.27837219124796,-2.45492072545494,0.975040711347901,0.999903837598123
