,mean,total,tech,bio,p.value,FDR
WHAMM,2.39674628163608,8.25709484062675,11.0201830367729,-2.76308819614619,0.845934697286038,0.999932012950346
RPAIN,3.17825845031949,10.7019296627885,13.4673675159924,-2.76543785320388,0.798048010798398,0.999932012950346
GTF2F1,2.75050238259038,9.44678460743422,12.2124259799645,-2.76564137253026,0.821346077675704,0.999932012950346
ZNF587,1.50385340760109,4.66232380803528,7.42828630902472,-2.76596250098944,0.934927379388904,0.999932012950346
XPNPEP3,5.45845564380457,13.8898527045596,16.6560170890164,-2.76616438445683,0.750180020769134,0.999932012950346
SPCS2,3.2490876412728,10.8876998569005,13.6560307075128,-2.76833085061233,0.795029952403004,0.999932012950346
MAPK9,1.63146342600938,5.21734458075331,7.985948735125,-2.7686041543717,0.92060954437167,0.999932012950346
IDH3B,4.96734294998987,13.6828220403792,16.4548786916557,-2.77205665127646,0.753253423763296,0.999932012950346
TXNDC11,2.45789339348195,8.46273639517947,11.2350893268783,-2.77235293169879,0.842071942640272,0.999932012950346
KIAA1522,2.15762365973989,7.37170903301682,10.1441449880075,-2.77243595499067,0.866696677061034,0.999932012950346
NDUFB1,2.38293062660584,8.1956263013235,10.971126267928,-2.77549996660446,0.84809751765466,0.999932012950346
APRT,2.77455008102513,9.51279867460757,12.288664966487,-2.77586629187941,0.820737247447711,0.999932012950346
HNRNPUL1,4.8892382258846,13.6215490245807,16.3982084678124,-2.77665944323171,0.754358903892356,0.999932012950346
SEC11A,3.98245060780313,12.4726113963919,15.255671532624,-2.78306013623212,0.770811721732981,0.999932012950346
HNRNPA3,6.43675986508498,13.6111764702597,16.3944790176036,-2.78330254734385,0.754926342309076,0.999932012950346
KRT18P55,0.7476391840202,1.10566732437635,3.89163086171696,-2.78596353734061,0.998192236467573,0.999932012950346
OPA3,1.23422743118586,3.42261539385941,6.21266695960588,-2.79005156574647,0.966032607599023,0.999932012950346
GIT1,1.3691745350795,4.03530475961753,6.82737378773242,-2.79206902811489,0.951772250986978,0.999932012950346
HP1BP3,4.80297315437301,13.5318772837678,16.325713817001,-2.79383653323318,0.75666154346482,0.999932012950346
DCTN4,3.96454140034506,12.4303013523624,15.2244230159885,-2.7941216636261,0.772165694834349,0.999932012950346
MAP2K3,4.62421851419099,13.3547824147644,16.1497851518672,-2.79500273710278,0.75912012235007,0.999932012950346
ATXN7,2.24942401171624,7.69190117088586,10.4874785394217,-2.79557736853588,0.860709336936234,0.999932012950346
DDX21,3.9473456913275,12.3984846058931,15.194107427063,-2.79562282116995,0.772736154785867,0.999932012950346
